action_id,incident_id,root_cause,corrective_action,responsible_department,action_start_date,action_end_date,action_status,recurrence_after_action
1,2,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2023-01-03,2023-02-20,Completed,False
2,3,Supplier process deviation,Issue supplier corrective action request (SCAR),Quality Assurance,2023-01-06,2023-02-26,Completed,False
3,6,Thermal design limitation,Redesign cooling and heat protection,Design Engineering,2023-01-10,2023-03-13,Completed,True
4,8,Insufficient process control,Introduce statistical process control on the line,Production,2023-01-10,2023-02-26,Completed,False
5,9,Heat treatment deviation,Require heat treatment certificates from supplier,Quality Assurance,2023-01-06,2023-02-03,Completed,False
6,11,Thermal design limitation,Redesign cooling and heat protection,Design Engineering,2023-01-09,2023-05-09,Completed,False
7,17,Root cause not identified,Extended monitoring and data collection,Quality Assurance,2023-01-12,2023-02-12,Completed,False
8,20,Heat treatment deviation,Require heat treatment certificates from supplier,Quality Assurance,2023-01-11,2023-02-04,Completed,True
9,22,Heat treatment deviation,Require heat treatment certificates from supplier,Quality Assurance,2023-01-13,2023-03-05,Completed,False
10,23,Tolerance stack-up in design,Revise tolerances in the design drawings,Design Engineering,2023-01-13,2023-05-29,Completed,False
11,24,Incorrect assembly sequence,Update work instructions and assembly sequence,Production,2023-01-16,2023-03-07,Completed,False
12,25,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2023-01-16,2023-02-28,Completed,False
13,36,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2023-01-21,2023-03-04,Completed,False
14,40,Assembly tool wear,Replace worn tools and add tool maintenance schedule,Production,2023-01-21,2023-03-10,Completed,False
15,41,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2023-01-17,2023-02-20,Completed,False
16,46,Insufficient design margin,Raise design margin through an engineering change,Design Engineering,2023-01-18,2023-05-15,Completed,False
17,48,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Quality Assurance,2023-01-21,2023-02-11,Completed,False
18,51,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2023-01-27,2023-04-02,Completed,False
19,52,Tolerance stack-up in design,Revise tolerances in the design drawings,Design Engineering,2023-01-25,2023-04-10,Completed,True
20,57,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2023-01-22,2023-04-01,Completed,False
21,58,Supplier process deviation,Issue supplier corrective action request (SCAR),Quality Assurance,2023-01-24,2023-03-18,Completed,True
22,66,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2023-01-27,2023-03-27,Completed,False
23,68,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2023-01-25,2023-04-20,Completed,False
24,72,Material fatigue under load,Switch to a higher grade material,Supplier Quality,2023-01-26,2023-03-17,Completed,True
25,75,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Quality Assurance,2023-01-28,2023-03-27,Completed,False
26,76,Assembly tool wear,Replace worn tools and add tool maintenance schedule,Production,2023-02-06,2023-03-31,Completed,False
27,80,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2023-02-02,2023-04-22,Completed,False
28,83,Improper use by customer,Update owner manual and customer communication,Customer Service,2023-02-04,2023-02-22,Completed,False
29,85,Substandard raw material,Change material specification,Supplier Quality,2023-02-06,2023-04-28,Completed,True
30,87,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2023-01-30,2023-03-03,Completed,False
